crop,crop_id,month,growth_stage,soil_moisture_pct,temperature_c,humidity_pct,rainfall_24h_mm,wind_speed_kmh,solar_radiation,eto_mm_day,kc,etc_mm_day,days_since_irrigation,moisture_threshold,irrigate
olive,0,11,4,46.2,18.2,59.6,4.2,5.0,9.8,1.68,0.7,1.17,4,32,0
olive,0,1,0,34.0,15.3,65.3,0.0,9.6,20.0,2.43,0.65,1.58,11,30,0
citrus,1,9,3,47.4,26.1,41.5,0.0,1.5,8.9,4.06,0.85,3.45,2,46,1
citrus,1,10,4,34.4,18.5,57.7,0.0,4.3,8.8,1.59,0.75,1.19,12,42,1
wheat,2,8,0,26.3,27.1,21.7,0.0,2.7,14.6,9.96,0.4,3.98,7,30,1
citrus,1,4,1,65.8,16.2,52.4,0.0,5.9,25.0,4.24,0.75,3.18,1,42,0
olive,0,2,0,49.2,12.0,60.7,0.0,2.9,25.0,2.21,0.65,1.44,6,30,0
citrus,1,9,3,45.5,35.1,34.7,0.0,2.6,8.6,8.98,0.85,7.64,12,46,1
olive,0,7,3,44.3,35.2,35.2,0.0,8.5,21.3,12.0,0.75,9.0,4,37,0
olive,0,2,0,56.3,14.5,64.7,0.0,2.8,25.0,2.54,0.65,1.65,12,30,1
citrus,1,1,0,60.9,13.2,79.8,0.0,1.9,22.3,1.12,0.7,0.79,9,40,0
wheat,2,7,0,37.5,27.6,27.2,0.0,2.5,19.6,12.0,0.4,4.8,13,30,1
olive,0,12,0,40.9,10.4,81.2,0.0,2.7,20.0,0.72,0.65,0.47,2,30,0
citrus,1,9,3,59.8,26.8,47.7,3.7,1.8,8.4,3.62,0.85,3.08,1,46,0
wheat,2,2,1,63.9,10.5,84.2,6.0,8.1,25.0,0.84,0.7,0.59,4,35,0
wheat,2,4,3,66.7,24.6,58.1,0.0,2.2,25.0,7.35,1.15,8.45,2,45,0
citrus,1,10,4,48.5,18.5,52.7,0.0,2.1,8.3,1.61,0.75,1.21,3,42,0
olive,0,4,1,31.6,16.1,61.2,0.0,2.5,25.0,3.23,0.7,2.26,14,35,1
wheat,2,6,4,42.0,26.5,42.3,0.0,5.0,25.0,12.0,0.5,6.0,6,25,0
citrus,1,5,2,33.4,28.6,49.0,0.0,1.9,25.0,12.0,0.85,10.2,4,48,1
wheat,2,6,4,35.8,20.6,35.9,0.0,3.5,25.0,8.12,0.5,4.06,2,25,1
wheat,2,12,0,47.1,8.5,69.3,0.0,1.4,16.9,0.8,0.4,0.32,9,30,0
citrus,1,9,3,48.9,17.2,33.8,0.0,6.0,13.9,3.6,0.85,3.06,3,46,0
olive,0,7,3,48.6,26.2,17.3,0.0,10.0,21.2,12.0,0.75,9.0,0,37,0
citrus,1,5,2,64.6,22.1,63.3,0.0,1.9,25.0,5.16,0.85,4.39,2,48,0
wheat,2,4,3,31.9,18.6,51.8,0.0,6.7,25.0,5.43,1.15,6.24,13,45,1
citrus,1,4,1,44.9,18.8,50.9,0.0,1.4,25.0,5.12,0.75,3.84,8,42,0
citrus,1,6,3,41.5,24.7,38.1,0.0,5.8,25.0,11.61,0.85,9.87,2,46,1
citrus,1,5,2,60.6,23.0,44.0,0.0,2.3,25.0,8.58,0.85,7.3,4,48,1
olive,0,9,4,21.7,27.5,32.2,0.0,6.2,12.3,7.91,0.7,5.54,12,32,1
citrus,1,12,4,58.3,13.3,73.0,3.3,4.9,16.2,1.16,0.75,0.87,11,42,0
wheat,2,10,0,48.4,14.5,48.2,2.3,1.2,10.2,1.47,0.4,0.59,12,30,0
wheat,2,6,4,34.0,33.2,34.5,0.0,1.8,25.0,12.0,0.5,6.0,10,25,0
olive,0,9,4,72.8,25.6,47.4,0.0,5.6,11.0,4.65,0.7,3.26,2,32,0
olive,0,7,3,49.1,30.9,23.0,0.0,5.7,20.7,12.0,0.75,9.0,5,37,0
olive,0,3,1,44.3,11.0,52.8,0.0,3.7,25.0,2.45,0.7,1.71,10,35,0
olive,0,6,2,44.2,27.1,28.2,0.0,3.7,25.0,12.0,0.75,9.0,9,40,1
olive,0,11,4,38.2,9.2,61.0,0.0,8.7,10.3,0.75,0.7,0.53,4,32,0
wheat,2,12,0,52.5,6.8,63.3,0.0,2.4,17.0,0.81,0.4,0.32,12,30,0
citrus,1,9,3,52.6,21.6,38.8,0.0,2.9,12.7,4.28,0.85,3.64,7,46,0
citrus,1,5,2,30.3,23.3,49.8,0.0,7.3,25.0,8.66,0.85,7.36,12,48,1
wheat,2,4,3,24.0,23.3,50.6,0.0,5.7,25.0,8.24,1.15,9.48,2,45,1
wheat,2,7,0,26.5,34.1,30.4,0.0,3.5,22.6,12.0,0.4,4.8,3,30,1
olive,0,6,2,56.3,25.7,51.0,0.0,4.1,25.0,9.68,0.75,7.26,2,40,0
citrus,1,7,3,27.8,34.4,37.3,0.0,5.5,21.8,12.0,0.85,10.2,5,46,1
olive,0,10,4,80.0,16.2,51.7,0.0,4.7,11.0,1.86,0.7,1.3,1,32,0
olive,0,6,2,68.3,25.2,49.6,0.0,1.0,25.0,9.05,0.75,6.79,6,40,0
olive,0,5,2,10.0,24.0,37.8,0.0,6.4,25.0,11.18,0.75,8.39,13,40,0
citrus,1,6,3,49.8,30.9,47.0,0.0,4.5,25.0,12.0,0.85,10.2,9,46,0
olive,0,4,1,60.2,17.9,55.2,5.7,2.6,25.0,4.4,0.7,3.08,7,35,0
olive,0,3,1,58.1,14.4,59.8,0.0,2.1,25.0,2.82,0.7,1.98,1,35,0
wheat,2,4,3,50.3,20.6,52.6,0.0,3.1,25.0,5.98,1.15,6.87,14,45,0
wheat,2,5,3,29.7,25.0,36.4,0.0,4.4,25.0,12.0,1.15,13.8,3,45,1
citrus,1,8,3,48.4,32.1,20.2,0.0,9.2,16.6,12.0,0.85,10.2,6,46,0
olive,0,4,1,50.7,14.1,61.7,0.0,3.1,25.0,2.67,0.7,1.87,3,35,0
wheat,2,10,0,37.9,25.0,47.9,0.0,1.2,9.3,3.44,0.4,1.38,11,30,0
olive,0,4,1,52.8,15.8,55.8,0.0,4.1,25.0,3.67,0.7,2.57,2,35,0
citrus,1,1,0,49.4,9.1,72.4,0.0,4.2,20.6,0.98,0.7,0.68,5,40,0
olive,0,4,1,46.1,21.8,40.0,0.0,3.2,25.0,8.41,0.7,5.89,6,35,0
citrus,1,4,1,75.7,18.5,47.9,0.0,13.2,25.0,6.47,0.75,4.85,9,42,0
olive,0,9,4,30.2,27.2,37.2,0.0,6.6,10.9,6.45,0.7,4.52,0,32,1
wheat,2,8,0,33.0,38.8,39.0,0.0,3.2,13.0,12.0,0.4,4.8,7,30,0
olive,0,10,4,58.6,14.4,55.3,6.7,2.2,8.6,1.09,0.7,0.76,4,32,0
citrus,1,7,3,45.5,38.1,39.9,0.0,3.3,23.7,12.0,0.85,10.2,4,46,1
olive,0,11,4,22.8,20.3,76.7,0.0,13.3,12.4,1.68,0.7,1.18,10,32,1
olive,0,1,0,52.5,11.9,75.4,9.4,7.5,20.6,1.22,0.65,0.8,8,30,0
wheat,2,9,0,34.2,26.4,38.8,0.0,6.1,9.8,5.21,0.4,2.08,8,30,1
olive,0,6,2,80.0,23.0,44.9,0.0,6.4,25.0,9.09,0.75,6.81,8,40,0
olive,0,4,1,38.6,13.9,59.1,0.0,2.2,25.0,2.74,0.7,1.92,11,35,0
wheat,2,5,3,38.0,31.9,36.4,0.0,5.2,25.0,12.0,1.15,13.8,8,45,1
citrus,1,2,0,46.6,15.7,76.9,0.0,10.7,25.0,2.13,0.7,1.49,0,40,0
olive,0,6,2,41.2,33.5,40.8,0.0,8.0,25.0,12.0,0.75,9.0,0,40,0
citrus,1,7,3,57.2,35.9,24.0,0.0,2.3,18.4,12.0,0.85,10.2,10,46,1
citrus,1,5,2,43.9,15.4,63.0,0.0,2.5,25.0,2.87,0.85,2.44,0,48,1
olive,0,10,4,51.2,16.8,51.7,0.0,7.1,8.4,1.56,0.7,1.1,7,32,0
olive,0,9,4,36.7,18.9,60.0,0.0,1.2,10.8,1.8,0.7,1.26,0,32,0
olive,0,8,3,42.4,30.2,45.9,0.0,3.2,13.7,8.31,0.75,6.23,3,37,0
citrus,1,12,4,56.1,10.9,72.9,2.5,6.4,16.5,0.96,0.75,0.72,12,42,1
wheat,2,5,3,20.0,17.0,39.0,0.0,3.8,25.0,5.63,1.15,6.48,8,45,1
olive,0,4,1,41.2,19.4,52.6,0.0,10.3,25.0,6.09,0.7,4.26,12,35,0
olive,0,10,4,24.7,18.1,45.9,0.0,3.9,10.2,2.26,0.7,1.58,4,32,0
olive,0,1,0,44.5,9.4,55.9,0.0,3.5,22.2,1.72,0.65,1.12,4,30,0
wheat,2,9,0,53.1,28.3,54.0,0.0,7.5,12.3,5.89,0.4,2.36,8,30,0
citrus,1,11,4,49.8,18.0,70.0,0.0,1.8,10.6,1.24,0.75,0.93,10,42,0
wheat,2,2,1,42.8,8.6,94.4,0.0,2.2,25.0,0.5,0.7,0.35,7,35,0
olive,0,7,3,50.3,28.1,30.2,0.0,2.5,21.7,12.0,0.75,9.0,1,37,0
olive,0,11,4,37.9,15.6,58.8,12.0,3.3,7.5,0.99,0.7,0.69,14,32,0
olive,0,6,2,54.4,31.7,35.8,0.0,7.0,25.0,12.0,0.75,9.0,12,40,0
olive,0,7,3,36.0,35.8,27.2,0.0,3.9,18.9,12.0,0.75,9.0,3,37,1
citrus,1,8,3,62.0,30.4,38.1,0.0,2.7,16.2,11.27,0.85,9.58,0,46,0
olive,0,3,1,59.0,17.9,59.9,0.0,5.3,25.0,4.15,0.7,2.91,10,35,1
olive,0,7,3,24.1,34.8,23.4,0.0,6.5,21.6,12.0,0.75,9.0,11,37,1
wheat,2,8,0,42.2,29.4,36.4,0.0,4.4,16.0,10.89,0.4,4.36,0,30,0
olive,0,11,4,44.9,13.1,66.0,0.0,7.2,12.0,1.1,0.7,0.77,13,32,0
olive,0,4,1,60.0,19.6,56.0,0.0,9.8,25.0,5.71,0.7,4.0,13,35,0
wheat,2,1,1,65.5,9.0,65.8,2.7,6.5,19.3,1.17,0.7,0.82,14,35,0
wheat,2,12,0,51.8,13.4,72.0,0.0,7.8,15.1,1.19,0.4,0.48,0,30,0
wheat,2,12,0,38.1,15.3,82.6,0.0,3.0,16.3,0.89,0.4,0.36,8,30,0
citrus,1,6,3,74.0,24.5,41.4,0.0,3.2,25.0,10.33,0.85,8.78,5,46,0
olive,0,7,3,43.8,32.4,28.5,0.0,2.6,22.7,12.0,0.75,9.0,11,37,0
wheat,2,11,0,71.8,14.5,66.0,6.0,4.1,16.3,1.63,0.4,0.65,0,30,0
citrus,1,9,3,55.5,28.9,42.0,0.0,7.9,11.9,7.59,0.85,6.45,6,46,0
wheat,2,2,1,34.7,12.7,68.0,8.8,6.5,25.0,2.07,0.7,1.45,7,35,0
wheat,2,1,1,27.4,7.8,73.9,0.0,6.9,21.9,0.9,0.7,0.63,7,35,1
wheat,2,6,4,38.8,21.6,26.3,0.0,18.3,25.0,12.0,0.5,6.0,11,25,1
wheat,2,11,0,49.2,12.4,73.5,9.2,6.9,12.7,0.85,0.4,0.34,2,30,0
olive,0,9,4,68.4,26.4,41.3,0.0,12.9,9.7,5.52,0.7,3.86,7,32,0
olive,0,10,4,37.0,20.5,62.7,0.0,4.7,11.8,2.25,0.7,1.58,14,32,0
wheat,2,11,0,38.0,11.3,75.1,0.0,6.2,8.6,0.5,0.4,0.2,2,30,0
wheat,2,11,0,46.0,13.7,72.6,0.0,5.9,14.3,1.1,0.4,0.44,0,30,0
citrus,1,10,4,46.7,18.3,42.3,0.0,3.0,12.5,2.97,0.75,2.23,1,42,0
wheat,2,4,3,35.2,25.6,47.4,0.0,3.1,25.0,10.17,1.15,11.7,7,45,1
citrus,1,5,2,50.3,26.8,45.0,0.0,4.2,25.0,11.92,0.85,10.13,5,48,0
olive,0,2,0,52.4,14.8,60.8,3.6,2.4,25.0,2.86,0.65,1.86,12,30,1
olive,0,8,3,34.9,27.0,25.0,0.0,1.4,14.6,9.16,0.75,6.87,0,37,1
citrus,1,2,0,55.0,11.1,76.1,7.9,4.6,25.0,1.27,0.7,0.89,1,40,0
wheat,2,5,3,42.0,27.8,50.9,0.0,9.2,25.0,12.0,1.15,13.8,2,45,1
wheat,2,4,3,38.8,15.8,44.8,0.0,6.4,25.0,4.79,1.15,5.51,8,45,1
olive,0,6,2,52.0,34.1,38.7,0.0,5.4,25.0,12.0,0.75,9.0,5,40,0
citrus,1,5,2,60.1,24.6,34.9,0.0,2.1,25.0,11.31,0.85,9.61,8,48,0
citrus,1,2,0,47.0,11.0,69.6,3.5,7.9,25.0,1.69,0.7,1.19,1,40,0
olive,0,1,0,49.4,7.6,82.4,0.0,3.1,23.3,0.59,0.65,0.38,5,30,0
olive,0,12,0,65.2,12.7,86.1,0.0,8.2,17.4,0.64,0.65,0.42,11,30,0
citrus,1,2,0,59.2,7.8,71.7,7.1,6.3,25.0,1.1,0.7,0.77,5,40,0
olive,0,10,4,20.5,19.2,43.9,0.0,3.4,10.2,2.57,0.7,1.8,5,32,1
olive,0,10,4,67.8,23.8,54.3,5.6,3.8,7.5,2.31,0.7,1.61,6,32,0
citrus,1,6,3,74.0,29.6,33.9,36.3,3.9,25.0,12.0,0.85,10.2,5,46,0
olive,0,11,4,46.2,15.9,74.9,0.0,8.1,10.7,0.97,0.7,0.68,10,32,0
olive,0,2,0,55.2,15.0,77.3,0.0,4.6,25.0,1.77,0.65,1.15,11,30,0
olive,0,11,4,36.5,12.4,78.5,0.0,1.6,10.3,0.51,0.7,0.36,7,32,0
wheat,2,6,4,27.9,35.9,37.8,0.0,3.1,22.8,12.0,0.5,6.0,6,25,0
olive,0,3,1,25.7,19.9,55.8,0.0,7.7,25.0,5.72,0.7,4.0,2,35,1
citrus,1,3,1,74.1,21.9,66.8,2.7,3.6,25.0,4.72,0.75,3.54,11,42,0
olive,0,9,4,31.0,27.7,50.0,0.0,1.3,14.6,6.46,0.7,4.52,6,32,1
wheat,2,4,3,43.8,18.0,56.0,8.6,1.3,25.0,4.24,1.15,4.87,7,45,1
olive,0,2,0,47.4,21.2,80.5,0.0,5.3,25.0,2.71,0.65,1.76,11,30,0
wheat,2,1,1,43.3,12.4,65.1,0.0,3.8,21.8,1.81,0.7,1.27,6,35,0
citrus,1,7,3,60.4,32.9,27.8,0.0,2.4,21.0,12.0,0.85,10.2,13,46,0
olive,0,3,1,37.7,10.8,63.9,0.0,4.8,25.0,1.86,0.7,1.3,3,35,0
wheat,2,4,3,25.4,23.5,42.5,0.0,8.6,25.0,10.28,1.15,11.82,14,45,1
citrus,1,11,4,48.5,9.1,71.1,0.0,2.3,11.9,0.57,0.75,0.43,6,42,0
olive,0,9,4,25.0,28.4,34.3,0.0,5.9,10.7,7.13,0.7,4.99,7,32,1
wheat,2,2,1,62.9,13.2,50.2,0.0,3.1,25.0,3.16,0.7,2.21,4,35,0
olive,0,9,4,21.0,30.7,51.2,0.0,5.1,13.1,7.69,0.7,5.38,10,32,1
wheat,2,9,0,56.4,22.4,41.5,0.0,2.5,16.1,5.5,0.4,2.2,2,30,1
wheat,2,2,1,39.2,14.5,72.3,2.2,3.5,25.0,2.01,0.7,1.41,11,35,0
citrus,1,6,3,80.0,31.0,39.2,0.0,7.3,23.5,12.0,0.85,10.2,3,46,0
olive,0,9,4,45.9,30.2,40.4,0.0,4.2,12.4,8.39,0.7,5.87,14,32,0
olive,0,9,4,62.8,18.1,40.7,0.0,10.9,12.1,3.34,0.7,2.34,12,32,0
olive,0,12,0,29.7,11.4,85.4,4.2,8.3,18.1,0.62,0.65,0.4,12,30,1
olive,0,4,1,44.4,23.5,65.0,0.0,2.3,25.0,5.57,0.7,3.9,1,35,0
wheat,2,3,2,66.4,16.3,59.8,8.2,2.4,25.0,3.4,1.15,3.91,9,42,0
olive,0,10,4,47.0,7.7,60.8,0.0,7.5,8.8,0.54,0.7,0.38,13,32,0
wheat,2,9,0,43.0,27.2,40.6,0.0,8.9,9.8,5.67,0.4,2.27,2,30,0
wheat,2,3,2,50.4,15.2,58.5,7.5,2.2,25.0,3.15,1.15,3.62,10,42,0
wheat,2,11,0,45.5,14.0,72.8,11.3,2.8,12.4,0.92,0.4,0.37,11,30,0
citrus,1,8,3,32.5,27.8,36.3,0.0,1.6,15.1,8.61,0.85,7.32,11,46,1
olive,0,10,4,45.7,18.6,61.1,0.0,8.1,7.3,1.32,0.7,0.92,4,32,0
citrus,1,12,4,39.1,8.4,77.2,0.0,2.2,16.5,0.58,0.75,0.44,0,42,0
citrus,1,11,4,57.3,13.7,63.3,0.0,5.4,16.5,1.69,0.75,1.27,7,42,0
citrus,1,7,3,60.0,26.0,41.3,0.0,9.6,20.5,10.83,0.85,9.2,12,46,0
olive,0,11,4,52.2,16.5,60.3,0.0,2.8,11.5,1.59,0.7,1.11,5,32,0
olive,0,4,1,24.2,21.4,64.9,0.0,4.6,25.0,4.89,0.7,3.42,13,35,0
wheat,2,1,1,25.1,8.6,72.6,0.0,2.7,21.7,0.94,0.7,0.66,7,35,1
citrus,1,7,3,59.2,34.4,32.0,0.0,5.2,18.0,12.0,0.85,10.2,10,46,0
wheat,2,12,0,57.2,14.8,67.6,0.0,12.3,16.5,1.87,0.4,0.75,4,30,0
olive,0,3,1,66.2,9.8,69.3,17.8,3.9,25.0,1.41,0.7,0.98,2,35,0
olive,0,11,4,50.2,14.4,70.8,0.0,4.0,10.8,0.92,0.7,0.64,2,32,0
citrus,1,7,3,55.9,22.8,35.7,0.0,5.7,21.1,8.7,0.85,7.39,0,46,0
citrus,1,11,4,54.2,7.5,52.5,0.0,11.2,8.4,0.65,0.75,0.49,12,42,0
wheat,2,11,0,30.0,11.1,51.9,0.0,6.8,13.4,1.43,0.4,0.57,10,30,1
olive,0,1,0,41.5,11.2,76.8,18.3,2.9,24.0,1.16,0.65,0.75,6,30,0
wheat,2,10,0,69.1,20.2,57.2,43.1,3.1,9.7,2.01,0.4,0.81,13,30,0
olive,0,2,0,38.6,19.0,67.5,0.0,10.8,25.0,4.08,0.65,2.65,7,30,0
olive,0,4,1,23.8,21.1,53.9,0.0,6.9,25.0,6.49,0.7,4.55,7,35,1
wheat,2,1,1,11.3,8.8,65.4,0.0,5.8,20.0,1.19,0.7,0.83,4,35,1
wheat,2,7,0,46.6,30.5,41.4,0.0,4.5,18.2,12.0,0.4,4.8,0,30,0
citrus,1,10,4,80.0,25.0,55.1,27.9,4.7,14.4,4.9,0.75,3.67,0,42,0
olive,0,10,4,41.3,23.4,48.6,1.4,4.2,11.5,3.89,0.7,2.72,12,32,0
wheat,2,1,1,35.9,9.1,69.3,0.0,2.7,23.6,1.21,0.7,0.85,12,35,0
citrus,1,7,3,33.8,29.8,26.3,0.0,3.9,21.4,12.0,0.85,10.2,14,46,0
wheat,2,8,0,32.0,28.8,27.6,0.0,7.5,15.8,12.0,0.4,4.8,11,30,0
wheat,2,3,2,54.9,18.7,58.3,0.0,4.8,25.0,4.58,1.15,5.27,13,42,0
wheat,2,6,4,59.8,17.3,38.0,0.0,2.6,23.1,5.35,0.5,2.67,7,25,0
olive,0,9,4,50.3,19.7,52.8,0.0,7.2,10.6,2.52,0.7,1.77,14,32,0
citrus,1,12,4,71.5,16.4,71.7,0.0,2.4,15.5,1.5,0.75,1.13,11,42,0
wheat,2,5,3,34.9,17.3,38.0,0.0,3.2,25.0,5.83,1.15,6.7,12,45,1
wheat,2,2,1,30.7,15.2,61.6,0.0,2.8,25.0,2.94,0.7,2.06,4,35,0
wheat,2,11,0,57.2,13.2,65.6,4.1,4.7,10.9,0.98,0.4,0.39,11,30,0
olive,0,5,2,41.7,27.3,48.2,0.0,2.1,25.0,11.26,0.75,8.45,3,40,0
wheat,2,11,0,18.3,10.2,60.5,0.0,10.8,12.2,1.04,0.4,0.42,7,30,1
wheat,2,5,3,20.3,17.5,48.6,0.0,1.3,25.0,4.74,1.15,5.45,13,45,1
citrus,1,11,4,55.2,20.8,60.2,8.7,4.0,10.9,2.26,0.75,1.69,12,42,0
olive,0,7,3,67.3,32.7,16.5,0.0,2.6,21.7,12.0,0.75,9.0,9,37,0
citrus,1,7,3,39.8,27.9,26.6,0.0,8.6,25.0,12.0,0.85,10.2,13,46,1
citrus,1,4,1,55.6,11.1,60.7,0.0,4.1,25.0,2.08,0.75,1.56,9,42,0
olive,0,9,4,74.1,30.4,39.5,0.0,3.2,13.5,9.28,0.7,6.5,1,32,0
citrus,1,2,0,40.3,12.0,63.8,0.0,5.8,25.0,2.15,0.7,1.5,13,40,0
olive,0,2,0,39.3,10.5,66.7,4.8,7.1,25.0,1.74,0.65,1.13,2,30,0
citrus,1,8,3,52.9,29.3,18.3,0.0,8.8,13.1,12.0,0.85,10.2,7,46,0
citrus,1,2,0,45.7,16.5,60.6,0.0,4.8,25.0,3.55,0.7,2.48,10,40,0
citrus,1,3,1,60.9,10.6,59.3,0.0,4.3,25.0,2.04,0.75,1.53,14,42,0
wheat,2,10,0,40.0,13.3,53.6,0.0,6.2,10.5,1.33,0.4,0.53,9,30,0
citrus,1,7,3,28.5,23.7,35.6,0.0,2.0,24.5,10.25,0.85,8.71,12,46,1
citrus,1,10,4,36.7,21.9,62.2,0.0,13.0,6.6,1.68,0.75,1.26,6,42,1
citrus,1,7,3,44.0,30.2,19.8,0.0,8.2,23.1,12.0,0.85,10.2,4,46,1
wheat,2,9,0,31.3,28.5,44.5,0.0,5.3,8.3,4.68,0.4,1.87,1,30,0
wheat,2,5,3,10.0,29.4,49.0,0.0,5.2,25.0,12.0,1.15,13.8,6,45,1
olive,0,9,4,57.2,22.9,57.5,0.0,11.1,13.7,4.12,0.7,2.89,13,32,0
citrus,1,10,4,56.6,21.7,54.2,6.8,2.0,10.8,2.68,0.75,2.01,6,42,0
wheat,2,9,0,27.5,27.0,52.3,0.0,2.7,15.1,6.15,0.4,2.46,3,30,1
citrus,1,7,3,23.2,31.8,28.9,0.0,4.1,20.3,12.0,0.85,10.2,13,46,1
wheat,2,4,3,21.8,21.2,49.2,0.0,4.7,25.0,6.98,1.15,8.02,0,45,1
wheat,2,5,3,39.4,22.4,36.6,0.0,2.3,25.0,9.23,1.15,10.61,4,45,1
wheat,2,3,2,38.2,15.8,50.5,0.0,6.0,25.0,4.28,1.15,4.92,6,42,1
olive,0,5,2,36.1,25.9,62.7,0.0,6.1,25.0,7.76,0.75,5.82,5,40,1
citrus,1,6,3,56.7,32.3,38.4,0.0,10.2,25.0,12.0,0.85,10.2,8,46,0
olive,0,4,1,47.5,20.8,62.0,1.8,3.0,25.0,4.86,0.7,3.4,10,35,0
wheat,2,2,1,31.8,11.2,62.4,0.0,2.6,25.0,1.95,0.7,1.36,4,35,1
wheat,2,10,0,31.5,21.9,58.4,4.9,2.5,11.4,2.66,0.4,1.06,8,30,1
olive,0,3,1,34.3,13.6,60.0,2.0,4.0,25.0,2.69,0.7,1.89,9,35,1
citrus,1,7,3,45.1,31.1,26.4,0.0,2.1,22.0,12.0,0.85,10.2,10,46,1
wheat,2,3,2,41.7,13.6,63.2,0.0,3.0,25.0,2.43,1.15,2.8,3,42,1
wheat,2,7,0,14.1,32.7,28.3,0.0,4.7,20.7,12.0,0.4,4.8,10,30,1
wheat,2,8,0,44.0,36.3,24.7,0.0,1.2,14.2,12.0,0.4,4.8,13,30,0
wheat,2,4,3,38.9,19.7,54.7,8.2,5.1,25.0,5.47,1.15,6.29,12,45,0
olive,0,4,1,33.5,23.6,48.4,0.0,5.2,25.0,8.76,0.7,6.13,5,35,1
citrus,1,6,3,38.7,29.4,21.5,0.0,17.7,25.0,12.0,0.85,10.2,8,46,1
olive,0,9,4,10.0,25.6,36.1,0.0,3.2,11.6,5.7,0.7,3.99,5,32,1
citrus,1,8,3,61.8,29.6,41.5,0.0,11.0,14.7,10.48,0.85,8.9,3,46,0
wheat,2,8,0,53.2,30.6,38.3,0.0,8.5,17.2,12.0,0.4,4.8,2,30,0
olive,0,11,4,55.4,15.5,75.9,0.0,11.2,10.7,0.94,0.7,0.66,0,32,0
wheat,2,6,4,37.1,35.5,28.3,0.0,4.9,25.0,12.0,0.5,6.0,10,25,0
wheat,2,3,2,27.1,15.6,51.6,0.0,1.2,25.0,3.74,1.15,4.3,4,42,1
olive,0,6,2,35.6,31.2,53.2,0.0,4.3,25.0,12.0,0.75,9.0,0,40,1
olive,0,11,4,18.1,16.1,60.9,13.0,6.5,7.4,1.03,0.7,0.72,13,32,0
citrus,1,8,3,40.8,33.1,30.9,0.0,1.4,17.9,12.0,0.85,10.2,0,46,1
citrus,1,9,3,63.3,24.5,46.3,0.0,5.7,11.7,4.65,0.85,3.95,9,46,0
citrus,1,9,3,49.9,16.8,42.1,0.0,2.7,13.7,2.82,0.85,2.4,11,46,0
olive,0,1,0,39.8,9.2,62.9,0.0,1.8,23.4,1.44,0.65,0.94,12,30,0
citrus,1,10,4,76.3,19.9,74.5,0.0,3.7,11.2,1.37,0.75,1.03,11,42,0
citrus,1,5,2,58.9,22.8,54.7,0.0,2.5,25.0,6.85,0.85,5.82,6,48,0
olive,0,11,4,42.8,20.2,69.7,0.0,9.4,13.2,2.17,0.7,1.52,1,32,0
wheat,2,3,2,39.4,18.5,56.0,0.0,2.5,25.0,4.54,1.15,5.22,13,42,1
wheat,2,1,1,46.1,7.2,73.0,20.6,2.9,19.2,0.71,0.7,0.5,14,35,0
citrus,1,5,2,57.9,25.8,26.1,6.8,2.6,25.0,12.0,0.85,10.2,13,48,0
wheat,2,11,0,33.5,18.0,63.3,0.0,6.5,10.5,1.65,0.4,0.66,2,30,0
wheat,2,10,0,37.9,18.6,62.0,0.0,2.0,11.8,1.86,0.4,0.74,11,30,0
citrus,1,5,2,31.8,21.6,45.3,0.0,3.0,25.0,7.55,0.85,6.42,6,48,1
citrus,1,1,0,57.6,16.3,70.4,0.0,5.0,20.7,2.17,0.7,1.52,3,40,0
wheat,2,2,1,33.8,5.3,78.4,20.2,4.4,25.0,0.62,0.7,0.43,4,35,0
olive,0,10,4,47.7,24.5,67.0,0.0,7.3,8.9,2.23,0.7,1.56,8,32,0
olive,0,4,1,48.1,21.8,56.1,0.0,7.5,25.0,6.66,0.7,4.66,5,35,0
citrus,1,1,0,72.3,9.5,66.5,0.0,11.6,23.7,1.62,0.7,1.13,9,40,0
olive,0,7,3,43.3,29.4,25.8,0.0,8.2,22.8,12.0,0.75,9.0,7,37,0
wheat,2,1,1,39.6,9.8,80.5,11.0,7.9,20.6,0.79,0.7,0.56,6,35,0
olive,0,6,2,51.0,25.4,29.7,0.0,2.5,25.0,12.0,0.75,9.0,0,40,0
olive,0,12,0,10.0,10.4,83.1,0.0,5.0,15.3,0.51,0.65,0.33,6,30,1
olive,0,12,0,56.4,14.0,82.5,0.0,6.9,16.2,0.84,0.65,0.55,5,30,0
wheat,2,10,0,60.6,30.8,50.2,0.0,4.4,12.7,7.57,0.4,3.03,11,30,0
olive,0,1,0,57.1,11.8,62.6,0.0,5.4,19.4,1.68,0.65,1.09,6,30,0
wheat,2,4,3,54.1,14.1,52.5,0.0,2.0,25.0,3.22,1.15,3.7,8,45,0
citrus,1,7,3,21.7,31.9,33.2,0.0,4.2,25.0,12.0,0.85,10.2,13,46,1
wheat,2,1,1,42.0,4.9,78.7,0.0,1.9,20.1,0.5,0.7,0.35,5,35,0
wheat,2,2,1,51.6,14.3,74.7,0.0,6.7,25.0,1.92,0.7,1.34,11,35,0
olive,0,9,4,24.2,28.5,37.0,0.0,5.1,10.4,6.61,0.7,4.62,6,32,1
wheat,2,8,0,43.2,32.8,17.3,0.0,6.2,16.3,12.0,0.4,4.8,8,30,0
wheat,2,4,3,30.2,19.5,58.4,0.0,4.2,25.0,4.87,1.15,5.6,14,45,1
citrus,1,7,3,58.7,34.4,31.6,0.0,5.2,18.6,12.0,0.85,10.2,1,46,0
